Date;Open;High;Low;Close;Volume
2024.11.01 01:45;2747.78;2747.8;2746;2746.65;554
2024.11.01 02:00;2746.69;2747.3;2745.82;2746.87;605
2024.11.01 02:15;2746.91;2747.11;2745.75;2746.5;510
2024.11.01 02:30;2746.5;2746.6;2745.37;2746.47;582
2024.11.01 02:45;2746.49;2746.97;2744.86;2745.07;941
2024.11.01 03:00;2745.03;2747.81;2744.86;2747.13;1361
2024.11.01 03:15;2747.13;2747.79;2745.5;2746.89;1338
2024.11.01 03:30;2746.69;2748.09;2745.42;2746.72;1274
2024.11.01 03:45;2746.77;2749.89;2746.69;2749.65;1324
2024.11.01 04:00;2749.56;2750.87;2746.54;2746.99;1358
2024.11.01 04:15;2746.93;2748.36;2746.62;2748.04;946
2024.11.01 04:30;2747.94;2749.71;2745.81;2748.62;1345
2024.11.01 04:45;2748.63;2749.07;2746.27;2748.57;1209
2024.11.01 05:00;2748.71;2749.21;2747.45;2748.94;1101
2024.11.01 05:15;2748.97;2750.16;2748.35;2750;959
2024.11.01 05:30;2749.95;2751.18;2749.1;2749.64;853
2024.11.01 05:45;2749.63;2751.92;2749.24;2751.85;872
2024.11.01 06:00;2751.86;2752.1;2751.1;2751.39;495
2024.11.01 06:15;2751.39;2751.83;2750.7;2751.72;514
2024.11.01 06:30;2751.72;2752.39;2751.2;2752.17;515
2024.11.01 06:45;2752.17;2752.91;2751.49;2752.24;686
2024.11.01 07:00;2752.35;2753;2752.17;2752.53;766
2024.11.01 07:15;2752.59;2753.01;2751.69;2752.13;768
2024.11.01 07:30;2752.08;2754.07;2751.89;2753.07;1243
2024.11.01 07:45;2753.08;2755.21;2752.76;2754.98;1252
2024.11.01 08:00;2755.06;2757.67;2754.77;2756.67;1279
2024.11.01 08:15;2756.69;2756.69;2752.55;2752.86;1228
2024.11.01 08:30;2752.89;2754.18;2751.28;2751.78;1193
2024.11.01 08:45;2751.76;2753.58;2751.76;2752.01;1183
2024.11.01 09:00;2752.02;2753.13;2749.99;2750.33;952
2024.11.01 09:15;2750.34;2752;2749.83;2750.15;944
2024.11.01 09:30;2750;2750.58;2747.08;2747.21;1112
2024.11.01 09:45;2747.19;2749.72;2747.15;2749.66;1061
2024.11.01 10:00;2749.36;2752.83;2748.55;2752.41;1235
2024.11.01 10:15;2752.41;2754.46;2751.59;2754.16;1128
2024.11.01 10:30;2754.14;2755.08;2751.88;2754.75;1262
2024.11.01 10:45;2754.67;2754.67;2751.38;2753.3;1116
2024.11.01 11:00;2753.42;2755.2;2752.35;2755.1;1174
2024.11.01 11:15;2755.13;2755.46;2752.23;2753.15;1009
2024.11.01 11:30;2753.17;2753.25;2748.12;2751.12;1120
2024.11.01 11:45;2751.13;2752.62;2749.98;2751.26;985
2024.11.01 12:00;2751.25;2751.82;2750.26;2750.41;1046
