datetime,symbol,open,high,low,close,volume
2025-04-02 14:00:00,FOREXCOM:XAUUSD,3125.31,3127.735,3123.56,3125.575,0.0
2025-04-02 14:15:00,FOREXCOM:XAUUSD,3125.575,3130.34,3124.975,3128.73,0.0
2025-04-02 14:30:00,FOREXCOM:XAUUSD,3128.73,3133.685,3128.125,3133.105,0.0
2025-04-02 14:45:00,FOREXCOM:XAUUSD,3133.105,3133.895,3131.065,3131.345,0.0
2025-04-02 15:00:00,FOREXCOM:XAUUSD,3131.345,3131.65,3128.04,3128.93,0.0
2025-04-02 15:15:00,FOREXCOM:XAUUSD,3128.93,3131.085,3127.9,3130.78,0.0
2025-04-02 15:30:00,FOREXCOM:XAUUSD,3130.78,3131.295,3127.125,3129.11,0.0
2025-04-02 15:45:00,FOREXCOM:XAUUSD,3129.11,3131.315,3128.78,3131.14,0.0
2025-04-02 16:00:00,FOREXCOM:XAUUSD,3131.14,3131.43,3128.93,3130.15,0.0
2025-04-02 16:15:00,FOREXCOM:XAUUSD,3130.15,3130.29,3125.855,3127.025,0.0
2025-04-02 16:30:00,FOREXCOM:XAUUSD,3127.025,3127.75,3116.735,3117.28,0.0
2025-04-02 16:45:00,FOREXCOM:XAUUSD,3117.28,3117.37,3110.225,3114.565,0.0
2025-04-02 17:00:00,FOREXCOM:XAUUSD,3114.565,3120.88,3114.51,3119.71,0.0
2025-04-02 17:15:00,FOREXCOM:XAUUSD,3119.71,3123.885,3117.72,3122.925,0.0
2025-04-02 17:30:00,FOREXCOM:XAUUSD,3122.925,3123.47,3118.98,3121.67,0.0
2025-04-02 17:45:00,FOREXCOM:XAUUSD,3121.67,3123.04,3119.835,3121.355,0.0
2025-04-02 18:00:00,FOREXCOM:XAUUSD,3121.355,3122.105,3117.95,3119.695,0.0
2025-04-02 18:15:00,FOREXCOM:XAUUSD,3119.695,3126.175,3117.17,3126.0,0.0
2025-04-02 18:30:00,FOREXCOM:XAUUSD,3126.0,3127.26,3122.4,3124.35,0.0
2025-04-02 18:45:00,FOREXCOM:XAUUSD,3124.35,3124.845,3122.43,3122.545,0.0
2025-04-02 19:00:00,FOREXCOM:XAUUSD,3122.545,3127.065,3120.885,3124.01,0.0
2025-04-02 19:15:00,FOREXCOM:XAUUSD,3124.01,3127.17,3122.765,3125.845,0.0
2025-04-02 19:30:00,FOREXCOM:XAUUSD,3125.845,3132.2,3124.93,3127.525,0.0
2025-04-02 19:45:00,FOREXCOM:XAUUSD,3127.525,3127.605,3116.69,3122.52,0.0
2025-04-02 20:00:00,FOREXCOM:XAUUSD,3122.52,3124.765,3119.435,3124.185,0.0
2025-04-02 20:15:00,FOREXCOM:XAUUSD,3124.185,3128.49,3123.735,3126.77,0.0
2025-04-02 20:30:00,FOREXCOM:XAUUSD,3126.77,3127.545,3124.145,3125.85,0.0
2025-04-02 20:45:00,FOREXCOM:XAUUSD,3125.85,3129.48,3124.675,3124.905,0.0
2025-04-02 21:00:00,FOREXCOM:XAUUSD,3124.905,3128.235,3124.02,3125.81,0.0
2025-04-02 21:15:00,FOREXCOM:XAUUSD,3125.81,3128.195,3120.98,3124.755,0.0
2025-04-02 21:30:00,FOREXCOM:XAUUSD,3124.755,3128.14,3124.27,3127.48,0.0
2025-04-02 21:45:00,FOREXCOM:XAUUSD,3127.48,3127.91,3125.215,3125.9,0.0
2025-04-02 22:00:00,FOREXCOM:XAUUSD,3125.9,3130.4,3125.9,3130.06,0.0
2025-04-02 22:15:00,FOREXCOM:XAUUSD,3130.06,3134.385,3129.115,3132.375,0.0
2025-04-02 22:30:00,FOREXCOM:XAUUSD,3132.375,3134.025,3130.935,3132.56,0.0
2025-04-02 22:45:00,FOREXCOM:XAUUSD,3132.56,3133.62,3127.26,3131.545,0.0
2025-04-02 23:00:00,FOREXCOM:XAUUSD,3131.545,3131.555,3128.735,3129.63,0.0
2025-04-02 23:15:00,FOREXCOM:XAUUSD,3129.63,3129.645,3123.345,3124.405,0.0
2025-04-02 23:30:00,FOREXCOM:XAUUSD,3124.405,3124.465,3120.94,3123.95,0.0
2025-04-02 23:45:00,FOREXCOM:XAUUSD,3123.95,3124.965,3122.76,3123.645,0.0
2025-04-03 00:00:00,FOREXCOM:XAUUSD,3123.645,3126.27,3122.13,3123.425,0.0
2025-04-03 00:15:00,FOREXCOM:XAUUSD,3123.425,3125.21,3118.81,3119.06,0.0
2025-04-03 00:30:00,FOREXCOM:XAUUSD,3119.06,3123.215,3118.775,3122.83,0.0
2025-04-03 00:45:00,FOREXCOM:XAUUSD,3122.83,3123.55,3121.105,3121.915,0.0
2025-04-03 01:00:00,FOREXCOM:XAUUSD,3121.915,3125.22,3121.6,3123.275,0.0
2025-04-03 01:15:00,FOREXCOM:XAUUSD,3123.275,3126.305,3122.09,3125.73,0.0
2025-04-03 01:30:00,FOREXCOM:XAUUSD,3125.73,3127.365,3125.645,3126.65,0.0
2025-04-03 01:45:00,FOREXCOM:XAUUSD,3126.65,3126.815,3124.295,3124.47,0.0
2025-04-03 02:00:00,FOREXCOM:XAUUSD,3124.47,3125.23,3104.9,3117.935,0.0
